symbol,strike_price,expiry_date,option_type,identifier,instrument_token,last_price,change,p_change,volume,oi,iv,oi_day_high,oi_day_low,bid_qty,bid_price,ask_qty,ask_price
NIFTY,22000,29-Dec-2026,PE,OPTIDXNIFTY29-12-2026PE22000.00,,278.0,11.0,4.119850187265917,216,629.6666666666666,19.02,,,75,274.0,825,278.0
NIFTY,22000,29-Jun-2027,PE,OPTIDXNIFTY29-06-2027PE22000.00,,0.0,0.0,0.0,0,0.0,0.0,,,75,18.0,0,0.0
NIFTY,22000,28-Dec-2027,PE,OPTIDXNIFTY28-12-2027PE22000.00,,460.0,118.94999999999999,34.87758393197478,2,20.333333333333332,21.27,,,75,450.05,75,459.0
NIFTY,22000,27-Jun-2028,PE,OPTIDXNIFTY27-06-2028PE22000.00,,470.05,0.0,0.0,0,4.333333333333333,0.0,,,300,305.05,0,0.0
NIFTY,22000,26-Dec-2028,PE,OPTIDXNIFTY26-12-2028PE22000.00,,390.05,0.0,0.0,0,3.0,0.0,,,300,303.05,0,0.0
NIFTY,22000,26-Jun-2029,PE,OPTIDXNIFTY26-06-2029PE22000.00,,0.0,0.0,0.0,0,0.0,0.0,,,75,37.0,0,0.0
NIFTY,22000,24-Dec-2029,PE,OPTIDXNIFTY24-12-2029PE22000.00,,0.0,0.0,0.0,0,0.0,0.0,,,300,225.05,0,0.0
NIFTY,22000,25-Jun-2030,PE,OPTIDXNIFTY25-06-2030PE22000.00,,0.0,0.0,0.0,0,0.0,0.0,,,75,16.0,0,0.0
NIFTY,22600,30-Sep-2025,CE,OPTIDXNIFTY30-09-2025CE22600.00,,2813.55,0.0,0.0,0,37.0,0.0,,,300,2120.85,75,2380.2
NIFTY,22600,30-Sep-2025,PE,OPTIDXNIFTY30-09-2025PE22600.00,,0.95,-0.55,-36.66666666666667,46065,18605.0,31.28,,,4350,0.95,5025,1.0
NIFTY,22600,28-Oct-2025,CE,OPTIDXNIFTY28-10-2025CE22600.00,,2490.0,-161.6500000000001,-6.096204250183851,3,15.0,0.0,,,75,2452.15,150,2532.2
NIFTY,22600,28-Oct-2025,PE,OPTIDXNIFTY28-10-2025PE22600.00,,10.1,0.0,0.0,6069,12274.0,17.51,,,1200,9.75,1200,10.1
NIFTY,22650,30-Sep-2025,CE,OPTIDXNIFTY30-09-2025CE22650.00,,2169.5,0.0,0.0,0,1.0,0.0,,,75,2262.3,75,2364.55
NIFTY,22650,30-Sep-2025,PE,OPTIDXNIFTY30-09-2025PE22650.00,,0.9,-0.6,-40.0,22350,1569.0,30.48,,,6075,0.9,3300,1.0
NIFTY,22650,28-Oct-2025,CE,OPTIDXNIFTY28-10-2025CE22650.00,,0.0,0.0,0.0,0,0.0,0.0,,,1425,2078.35,1725,2537.35
NIFTY,22650,28-Oct-2025,PE,OPTIDXNIFTY28-10-2025PE22650.00,,10.35,-0.45000000000000107,-4.166666666666676,31,165.0,17.26,,,450,9.3,75,13.0
NIFTY,22700,30-Sep-2025,CE,OPTIDXNIFTY30-09-2025CE22700.00,,2380.0,-290.0,-10.861423220973784,1,5.0,73.85,,,75,2153.0,300,2311.95
